name,sets,reps,load,day,focus,volume
Incline bench press,3,10,150,Tuesday,"Chest, shoulders and triceps",4500
Flat bench press,2,8,165,Tuesday,"Chest, shoulders and triceps",2640
Chest fly,3,10,105,Tuesday,"Chest, shoulders and triceps",3150
Lateral raise,3,12,30,Tuesday,"Chest, shoulders and triceps",1080
Shoulder press,3,10,155,Tuesday,"Chest, shoulders and triceps",4650
French press,3,10,120,Tuesday,"Chest, shoulders and triceps",3600
Triceps rope pushdown,2,10,130,Tuesday,"Chest, shoulders and triceps",2600
Lat pulldown,3,10,170,Thursday,Back and biceps,5100
Bent-over row,3,10,130,Thursday,Back and biceps,3900
Single-arm row,3,10,140,Thursday,Back and biceps,4200
Cable pullover,2,10,110,Thursday,Back and biceps,2200
Barbell curl,3,10,130,Thursday,Back and biceps,3900
Hammer curl,3,10,120,Thursday,Back and biceps,3600
Forearm curl,2,10,120,Thursday,Back and biceps,2400
Squat,4,10,260,Saturday,Legs,10400
Leg extension,3,10,140,Saturday,Legs,4200
Leg curl,3,10,120,Saturday,Legs,3600
Calf raise,4,12,145,Saturday,Legs,6960
